name,selected,shared name,type
ABCB1,False,ABCB1,tb
ALDH1A1,False,ALDH1A1,dis
ABL1,False,ABL1,tb
ABCG1,False,ABCG1,tb
PPARG,False,PPARG,tb
OLR1,False,OLR1,tb
SPAG9,False,SPAG9,tb
AGO2,False,AGO2,tb
EIF4E,False,EIF4E,tb
AIF1,False,AIF1,tb
SYN1,False,SYN1,tb
GLUL,False,GLUL,dis
OLIG2,False,OLIG2,tb
CCL3,False,CCL3,dis
AKR7A2,False,AKR7A2,tb
MSC,False,MSC,tb
ARHGEF7,False,ARHGEF7,tb
CAMK1,False,CAMK1,tb
BBS9,False,BBS9,tb
IFT27,False,IFT27,tb
CARS2,False,CARS2,tb
CTH,False,CTH,tb
FARS2,False,FARS2,tb
SERPINE1,False,SERPINE1,tb
EGR2,False,EGR2,dis
ITGAL,False,ITGAL,tb
CD83,False,CD83,dis
CXCR6,False,CXCR6,tb
CXCL2,False,CXCL2,dis
CCL3L3,False,CCL3L3,
CD58,False,CD58,tb
PLIN2,False,PLIN2,tb
LMNA,False,LMNA,tb
THBD,False,THBD,dis
CDK19,False,CDK19,tb
MED14,False,MED14,tb
COL7A1,False,COL7A1,tb
TRAPPC6A,False,TRAPPC6A,tb
PLOD1,False,PLOD1,tb
ITGAV,False,ITGAV,tb
SORD,False,SORD,tb
TSTD1,False,TSTD1,tb
IL32,False,IL32,tb
DNAJB5,False,DNAJB5,tb
GSPT1,False,GSPT1,tb
IL21R,False,IL21R,tb
NR4A3,False,NR4A3,dis
NR4A1,False,NR4A1,dis
ENG,False,ENG,tb
ITGA5,False,ITGA5,tb
FGFR1,False,FGFR1,tb
PIK3R2,False,PIK3R2,tb
GEM,False,GEM,tb
SYNJ2,False,SYNJ2,tb
GFPT2,False,GFPT2,tb
GPR183,False,GPR183,dis
IFITM1,False,IFITM1,tb
INPP4B,False,INPP4B,tb
PLAU,False,PLAU,tb
LIMS1,False,LIMS1,tb
SPHK1,False,SPHK1,tb
LGMN,False,LGMN,tb
PSME2,False,PSME2,tb
TNS1,False,TNS1,tb
PRKCB,False,PRKCB,tb
TPM3,False,TPM3,tb
MAP3K8,False,MAP3K8,tb
VDR,False,VDR,tb
NTNG2,False,NTNG2,tb
SEMA7A,False,SEMA7A,tb
PDE2A,False,PDE2A,tb
PRKAR1A,False,PRKAR1A,tb
RFX7,False,RFX7,tb
PMEPA1,False,PMEPA1,tb
SKIL,False,SKIL,tb
PPAP2B,False,PPAP2B,
PSME1,False,PSME1,tb
TFPI,False,TFPI,tb
SLC1A4,False,SLC1A4,tb
SLC43A2,False,SLC43A2,tb
SLC25A19,False,SLC25A19,tb
STX8,False,STX8,tb
SYNGR3,False,SYNGR3,tb
TMEM57,False,TMEM57,
YPEL4,False,YPEL4,tb
